article_id,title,content_type,published_at,url,views,likes,comments,favorites,earnings,earnings_per_1k_views,result_layer,evidence_level,sample_level,upgrade_reason,notes
answer_2061182947722629609,阶层为什么会固化？,回答,发布于 07-16,https://www.zhihu.com/answer/2061182947722629609,71,4,0,7,26,366.20,B+C+D,RAW,L1,B层-高千阅读收益TOP20；C层-高阅读低收益TOP20；D层-低阅读低收益TOP20；低阅读高收益TOP5；异常样本TOP5-高收藏率,
answer_2061119572829270834,什么叫裁员裁到大动脉？,回答,发布于 07-16,https://www.zhihu.com/answer/2061119572829270834,649,2,0,0,4,6.16,C+D,RAW,L1,C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2060821175119484418,为什么现在充满恶意的人越来越多了?,回答,发布于 07-15,https://www.zhihu.com/answer/2060821175119484418,95,3,0,9,,,,RAW,L1,异常样本TOP5-高收藏率,
answer_2060382464640561232,提拔人的底层逻辑是什么？,回答,发布于 07-14,https://www.zhihu.com/answer/2060382464640561232,288,2,0,3,33,114.58,A+B+D,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；D层-低阅读低收益TOP20,
answer_2057129843288957834,现在就业大环境怎么样？,回答,发布于 07-05,https://www.zhihu.com/answer/2057129843288957834,594,5,0,2,61,102.69,A+B+D,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；D层-低阅读低收益TOP20,
answer_2057119789592717236,公司倒闭前有什么征兆？,回答,发布于 07-05,https://www.zhihu.com/answer/2057119789592717236,921,1,0,0,4,4.34,C+D,RAW,L1,C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2056382999558674292,体制内你见到最狠的是什么样？,回答,发布于 07-03,https://www.zhihu.com/answer/2056382999558674292,478,1,0,2,18,37.66,C+D,RAW,L1,C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2056059209934959217,怎么判断一个单位已经烂透了?,回答,发布于 07-02,https://www.zhihu.com/answer/2056059209934959217,962,12,1,16,217,225.57,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20,
answer_2056054123464860634,为什么中建这种大央企也会发不出工资？,回答,发布于 07-02,https://www.zhihu.com/answer/2056054123464860634,546,7,0,4,55,100.73,A+D,RAW,L1,A层-高收益TOP20；D层-低阅读低收益TOP20,
answer_2056050021309666323,你是怎么发现职场都是一个草台班子的？？,回答,发布于 07-02,https://www.zhihu.com/answer/2056050021309666323,282,3,0,1,38,134.75,A+B+D,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；D层-低阅读低收益TOP20,
answer_2055788329006784796,好领导一般都什么样？,回答,发布于 07-01,https://www.zhihu.com/answer/2055788329006784796,440,7,0,7,91,206.82,A+B+D,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；D层-低阅读低收益TOP20,
answer_2054590834364912396,领导的威严是怎么树立起来的？,回答,发布于 06-28,https://www.zhihu.com/answer/2054590834364912396,3.9 万,864,37,1567,,,,RAW,L1,高收藏TOP5；高阅读TOP5,
answer_2054232041546425500,作为管理者，有哪些事情不能对员工讲？,回答,发布于 06-27,https://www.zhihu.com/answer/2054232041546425500,870,12,1,33,484,556.32,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；低阅读高收益TOP5；高收益TOP5,收益来源：知乎TOP10事实包_V1_给GPT复盘.md
answer_2054353693386990646,什么样的员工容易被提拔为管理层？,回答,发布于 06-27,https://www.zhihu.com/answer/2054353693386990646,1289,14,0,18,431,334.37,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；低阅读高收益TOP5；高收益TOP5,收益来源：知乎TOP10事实包_V1_给GPT复盘.md
answer_2053893528665823152,职场中的人才，到底是「选拔」出来的还是「培养」出来的？,回答,发布于 06-26,https://www.zhihu.com/answer/2053893528665823152,796,14,0,13,420,527.64,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；低阅读高收益TOP5；高收益TOP5,收益来源：知乎TOP10事实包_V1_给GPT复盘.md
answer_2053865051048654496,为什么很多人学习了大量的商业知识，别人的成功方法，成功案例，但是自己却还是失败的？,回答,发布于 06-26,https://www.zhihu.com/answer/2053865051048654496,76,0,0,6,,,,RAW,L1,异常样本TOP5-高收藏率,
answer_2053482385552021494,为什么成功人士的精力都非常旺盛？,回答,发布于 06-25,https://www.zhihu.com/answer/2053482385552021494,278,3,0,2,32,115.11,B+C+D,RAW,L1,B层-高千阅读收益TOP20；C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2053145297379923071,什么事情是你当了老板才知道的？,回答,发布于 06-24,https://www.zhihu.com/answer/2053145297379923071,4.4 万,720,64,1193,17128,389.27,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；低阅读高收益TOP5；高收益TOP5；高收藏TOP5；高阅读TOP5,收益来源：知乎TOP10事实包_V1_给GPT复盘.md
answer_2053140800012391180,中年失业出路在哪？,回答,发布于 06-24,https://www.zhihu.com/answer/2053140800012391180,988,6,0,14,100,101.21,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20,
answer_2053150670178595072,销售那么挣钱，为什么大家不愿意做销售？,回答,发布于 06-24,https://www.zhihu.com/answer/2053150670178595072,235,5,0,8,78,331.91,A+B+D,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；D层-低阅读低收益TOP20,
answer_2052522859554156734,普通人怎么才能实现财务自由？,回答,发布于 06-22,https://www.zhihu.com/answer/2052522859554156734,553,7,0,18,102,184.45,A+B,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20,
answer_2052435404134127226,管理的本质是决策还是协调？,回答,发布于 06-22,https://www.zhihu.com/answer/2052435404134127226,171,1,0,6,35,204.68,A+B+D,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；D层-低阅读低收益TOP20,
answer_2052418502003257602,什么时候才会实现财富自由？,回答,发布于 06-22,https://www.zhihu.com/answer/2052418502003257602,408,2,4,1,12,29.41,C+D,RAW,L1,C层-高阅读低收益TOP20；D层-低阅读低收益TOP20,
answer_2052166992531027845,为什么现在的年轻人创业经常失败？,回答,发布于 06-21,https://www.zhihu.com/answer/2052166992531027845,315,4,0,10,94,298.41,A+B+D,RAW,L1,A层-高收益TOP20；B层-高千阅读收益TOP20；D层-低阅读低收益TOP20,
answer_2047030703498568645,毕业后，有没有哪件事让你第一次感受到：原来自己已经不是学生了？,回答,发布于 06-07,https://www.zhihu.com/answer/2047030703498568645,5062,189,3,75,,,,RAW,L1,高收藏TOP5；高阅读TOP5,
answer_2045542636187119695,战略的本质到底是什么（附参考答案）？,回答,发布于 06-03,https://www.zhihu.com/answer/2045542636187119695,472,13,0,46,,,,RAW,L1,异常样本TOP5-高收藏率；高收藏TOP5,
answer_2033168129644303173,成功的核心标准有哪些？如何实现？,回答,发布于 04-30,https://www.zhihu.com/answer/2033168129644303173,69,4,2,10,,,,RAW,L1,异常样本TOP5-高收藏率,
